relname,group,count,n_edu
sequence,bilingual,276,660
sequence,monolingual,177,480
sequence,adult,119,350
cause,bilingual,6,660
cause,monolingual,8,480
cause,adult,0,350
background,bilingual,5,660
background,monolingual,2,480
background,adult,6,350
purpose,bilingual,1,660
purpose,monolingual,0,480
purpose,adult,4,350
result,bilingual,3,660
result,monolingual,0,480
result,adult,8,350
elaboration,bilingual,17,660
elaboration,monolingual,4,480
elaboration,adult,20,350
antithesis,bilingual,1,660
antithesis,monolingual,0,480
antithesis,adult,0,350
joint,bilingual,27,660
joint,monolingual,14,480
joint,adult,15,350
span,bilingual,19,660
span,monolingual,6,480
span,adult,15,350
motivation,bilingual,7,660
motivation,monolingual,1,480
motivation,adult,0,350
evaluation,bilingual,2,660
evaluation,monolingual,0,480
evaluation,adult,0,350
preparation,bilingual,14,660
preparation,monolingual,1,480
preparation,adult,5,350
contrast,bilingual,2,660
contrast,monolingual,2,480
contrast,adult,7,350
restatement,bilingual,0,660
restatement,monolingual,2,480
restatement,adult,2,350
condition,bilingual,0,660
condition,monolingual,1,480
condition,adult,1,350
justify,bilingual,0,660
justify,monolingual,0,480
justify,adult,7,350
